repo,stars,forks,open_issues,collected_at
ray-project/ray,42482,7537.0,3541.0,2026-05-10T18:25:30.094173+00:00
jax-ml/jax,35585,3569.0,2329.0,2026-05-10T18:25:30.095171+00:00
apache/spark,43249,29168.0,387.0,2026-05-10T18:25:30.097174+00:00
mlflow/mlflow,25853,5706.0,2056.0,2026-05-10T18:25:30.098188+00:00
keras-team/keras,64059,19766.0,200.0,2026-05-10T18:25:30.099164+00:00
openai/openai-python,30732,4776.0,488.0,2026-05-10T18:25:30.099164+00:00
microsoft/LightGBM,18335,4013.0,511.0,2026-05-10T18:25:30.100175+00:00
dmlc/xgboost,28360,8869.0,461.0,2026-05-10T18:25:30.101192+00:00
facebookresearch/faiss,39982,4372.0,297.0,2026-05-10T18:25:30.102178+00:00
apache/airflow,45344,17013.0,1681.0,2026-05-10T18:25:30.103177+00:00
prefecthq/prefect,22343,2298.0,844.0,2026-05-10T18:25:30.103177+00:00
streamlit/streamlit,44528,4234.0,1304.0,2026-05-10T18:25:30.106166+00:00
gradio-app/gradio,42543,3439.0,466.0,2026-05-10T18:25:30.106166+00:00
run-llama/llama_index,49300,7380.0,335.0,2026-05-10T18:25:30.106166+00:00
vllm-project/vllm,79560,16623.0,4877.0,2026-05-10T18:25:30.106166+00:00
ollama/ollama,171134,16054.0,3225.0,2026-05-10T18:25:30.107168+00:00
open-webui/open-webui,136447,19432.0,212.0,2026-05-10T18:25:30.107168+00:00
opencv/opencv,87414,56556.0,2746.0,2026-05-10T18:25:30.107168+00:00
ultralytics/ultralytics,56958,10942.0,324.0,2026-05-10T18:25:30.107168+00:00
milvus-io/milvus,44216,3995.0,875.0,2026-05-10T18:25:30.108172+00:00
qdrant/qdrant,31201,2250.0,546.0,2026-05-10T18:25:30.108172+00:00
weaviate/weaviate,16158,1274.0,575.0,2026-05-10T18:25:30.108172+00:00
chroma-core/chroma,27895,2238.0,607.0,2026-05-10T18:25:30.108172+00:00
langgenius/dify,140827,22101.0,761.0,2026-05-10T18:25:30.109167+00:00
PaddlePaddle/Paddle,23882,5988.0,1499.0,2026-05-10T18:25:30.109167+00:00
apache/flink,25990,13927.0,363.0,2026-05-10T18:25:30.109167+00:00
apache/kafka,32549,15174.0,342.0,2026-05-10T18:25:30.109167+00:00
apache/superset,72773,17238.0,1296.0,2026-05-10T18:25:30.109167+00:00
apache/doris,15325,3779.0,899.0,2026-05-10T18:25:30.110172+00:00
apache/seatunnel,9316,2233.0,491.0,2026-05-10T18:25:30.110172+00:00
duckdb/duckdb,38045,3220.0,574.0,2026-05-10T18:25:30.110172+00:00
elastic/elasticsearch,76671,25877.0,5692.0,2026-05-10T18:25:30.110172+00:00
kubernetes/kubernetes,122171,43017.0,2666.0,2026-05-10T18:25:30.110172+00:00
helm/helm,29793,7598.0,426.0,2026-05-10T18:25:30.111172+00:00
docker/compose,37365,5795.0,109.0,2026-05-10T18:25:30.111172+00:00
hashicorp/terraform,48367,10346.0,1901.0,2026-05-10T18:25:30.111172+00:00
ansible/ansible,68494,24160.0,802.0,2026-05-10T18:25:30.111172+00:00
prometheus/prometheus,63978,10392.0,779.0,2026-05-10T18:25:30.111172+00:00
grafana/grafana,73653,13856.0,3655.0,2026-05-10T18:25:30.111172+00:00
argoproj/argo-cd,22854,7187.0,4180.0,2026-05-10T18:25:30.112172+00:00
istio/istio,38185,8299.0,471.0,2026-05-10T18:25:30.112172+00:00
fastapi/fastapi,98068,9223.0,191.0,2026-05-10T18:25:30.112172+00:00
django/django,87453,33849.0,432.0,2026-05-10T18:25:30.112172+00:00
pallets/flask,71508,16834.0,3.0,2026-05-10T18:25:30.112172+00:00
encode/starlette,12297,1167.0,56.0,2026-05-10T18:25:30.112172+00:00
plotly/plotly.py,18512,2803.0,764.0,2026-05-10T18:25:30.112172+00:00
jupyter/notebook,13139,5664.0,1923.0,2026-05-10T18:25:30.113171+00:00
jupyterlab/jupyterlab,15141,3985.0,2637.0,2026-05-10T18:25:30.113171+00:00
vercel/next.js,139360,31041.0,3907.0,2026-05-10T18:25:30.113171+00:00
vuejs/core,53641,9105.0,971.0,2026-05-10T18:25:30.114084+00:00
sveltejs/svelte,86518,4906.0,999.0,2026-05-10T18:25:30.114084+00:00
angular/angular,100067,27209.0,1140.0,2026-05-10T18:25:30.114084+00:00
ant-design/ant-design,97986,54606.0,1366.0,2026-05-10T18:25:30.114084+00:00
supabase/supabase,102125,12348.0,1009.0,2026-05-10T18:25:30.114084+00:00
prisma/prisma,45925,2193.0,2589.0,2026-05-10T18:25:30.114084+00:00
typeorm/typeorm,36476,6516.0,519.0,2026-05-10T18:25:30.115167+00:00
hasura/graphql-engine,31969,2879.0,2371.0,2026-05-10T18:25:30.115167+00:00
appwrite/appwrite,56030,5331.0,869.0,2026-05-10T18:25:30.115167+00:00
pingcap/tidb,40075,6185.0,6168.0,2026-05-10T18:25:30.115167+00:00
alibaba/nacos,32931,13276.0,246.0,2026-05-10T18:25:30.115167+00:00
alibaba/spring-cloud-alibaba,29106,8508.0,137.0,2026-05-10T18:25:30.115167+00:00
apache/echarts,66320,19808.0,1667.0,2026-05-10T18:25:30.116173+00:00
baidu/amis,18864,2723.0,1708.0,2026-05-10T18:25:30.116173+00:00
Tencent/ncnn,23206,4421.0,1181.0,2026-05-10T18:25:30.116173+00:00
misskey-dev/misskey,11153,1571.0,2482.0,2026-05-10T18:25:30.116173+00:00
nextcloud/server,34856,4851.0,3359.0,2026-05-10T18:25:30.116173+00:00
home-assistant/core,86991,37436.0,3926.0,2026-05-10T18:25:30.116173+00:00
openhab/openhab-addons,2051,3723.0,684.0,2026-05-10T18:25:30.117171+00:00
screenpipe/screenpipe,18632,1696.0,37.0,2026-05-10T18:25:30.117171+00:00
OSGeo/grass,1105,427.0,709.0,2026-05-10T18:25:30.117171+00:00
photoprism/photoprism,39651,2256.0,468.0,2026-05-10T18:25:30.117171+00:00
EnzymeAD/Enzyme,1601,161.0,271.0,2026-05-10T18:25:30.118085+00:00
academic/awesome-datascience,29158,6504.0,0.0,2026-05-10T18:25:30.118085+00:00
lutzroeder/netron,32855,3114.0,19.0,2026-05-10T18:25:30.118085+00:00
rzru/nightingale,1102,72.0,13.0,2026-05-10T18:25:30.118085+00:00
hosseinmoein/DataFrame,2953,357.0,0.0,2026-05-10T18:25:30.118085+00:00
superiorlu/AITreasureBox,794,116.0,9.0,2026-05-10T18:25:30.118085+00:00
patrick-kidger/equinox,2877,193.0,242.0,2026-05-10T18:25:30.118085+00:00
SwanHubX/SwanLab,3918,205.0,70.0,2026-05-10T18:25:30.118085+00:00
sacridini/Awesome-Geospatial,5001,717.0,1.0,2026-05-10T18:25:30.119167+00:00
microsoft/onnxruntime,20462,3900.0,1412.0,2026-05-10T18:25:30.119167+00:00
modelscope/modelscope,8910,940.0,18.0,2026-05-10T18:25:30.119167+00:00
bgauryy/octocode-mcp,811,68.0,3.0,2026-05-10T18:25:30.119167+00:00
SemiAnalysisAI/InferenceX,944,162.0,147.0,2026-05-10T18:25:30.120165+00:00
Nano-Collective/nanocoder,1883,173.0,33.0,2026-05-10T18:25:30.120165+00:00
vellum-ai/vellum-assistant,346,43.0,113.0,2026-05-10T18:25:30.120165+00:00
HKUDS/nanobot,42137,7400.0,897.0,2026-05-10T18:25:30.120165+00:00
av/harbor,2920,200.0,55.0,2026-05-10T18:25:30.120165+00:00
osaurus-ai/osaurus,5215,272.0,59.0,2026-05-10T18:25:30.120165+00:00
mx-space/core,525,145.0,16.0,2026-05-10T18:25:30.121173+00:00
thomwebb/gac,314,14.0,0.0,2026-05-10T18:25:30.121173+00:00
rcarmo/piclaw,643,52.0,67.0,2026-05-10T18:25:30.121173+00:00
Fu-Jie/openwebui-extensions,203,15.0,2.0,2026-05-10T18:25:30.121173+00:00
openyak/openyak,778,52.0,18.0,2026-05-10T18:25:30.121173+00:00
metorial/metorial,3268,359.0,1.0,2026-05-10T18:25:30.121173+00:00
yjl9903/AnimeGarden,1174,35.0,18.0,2026-05-10T18:25:30.122084+00:00
ZSeven-W/openpencil,2576,249.0,9.0,2026-05-10T18:25:30.122084+00:00
volcengine/OpenViking,23735,1764.0,233.0,2026-05-10T18:25:30.122084+00:00
GeminiLight/MindOS,570,47.0,8.0,2026-05-10T18:25:30.122084+00:00
nesquena/hermes-webui,6516,850.0,86.0,2026-05-10T18:25:30.123170+00:00
cyhhao/vibe-remote,433,60.0,2.0,2026-05-10T18:25:30.123170+00:00
suyoumo/ClawProBench,588,50.0,0.0,2026-05-10T18:25:30.123170+00:00
Mai-with-u/MaiBot,4877,520.0,32.0,2026-05-10T18:25:30.123170+00:00
hicccc77/WeFlow,9592,2332.0,43.0,2026-05-10T18:25:30.123170+00:00
apexcharts/apexcharts.js,15098,1382.0,333.0,2026-05-10T18:25:30.123170+00:00
MIERUNE/svelte-maplibre-gl,301,17.0,22.0,2026-05-10T18:25:30.123170+00:00
violit-dev/violit,443,20.0,4.0,2026-05-10T18:25:30.124184+00:00
aree6/LiftShift,425,61.0,1.0,2026-05-10T18:25:30.124184+00:00
jsxgraph/jsxgraph,1332,197.0,97.0,2026-05-10T18:25:30.124184+00:00
ILoveBingLu/CipherTalk,376,90.0,41.0,2026-05-10T18:25:30.124184+00:00
clidey/whodb,4814,205.0,33.0,2026-05-10T18:25:30.124184+00:00
matplotlib/matplotlib,22782,8327.0,1486.0,2026-05-10T18:25:30.124184+00:00
ArcadeData/arcadedb,861,103.0,50.0,2026-05-10T18:25:30.125092+00:00
tursodatabase/turso,18696,884.0,670.0,2026-05-10T18:25:30.125092+00:00
cockroachdb/cockroach,32141,4120.0,8235.0,2026-05-10T18:25:30.125092+00:00
henrydaum/second-brain,511,54.0,3.0,2026-05-10T18:25:30.126084+00:00
StarRocks/starrocks,11657,2407.0,1019.0,2026-05-10T18:25:30.126084+00:00
TableProApp/TablePro,3164,196.0,19.0,2026-05-10T18:25:30.126084+00:00
t8y2/dbx,1231,89.0,38.0,2026-05-10T18:25:30.126084+00:00
databasus/databasus,6804,354.0,7.0,2026-05-10T18:25:30.126084+00:00
rqlite/rqlite,17489,780.0,71.0,2026-05-10T18:25:30.126084+00:00
databendlabs/databend,9285,870.0,552.0,2026-05-10T18:25:30.126084+00:00
EhTagTranslation/Database,1018,109.0,5.0,2026-05-10T18:25:30.127181+00:00
seaweedfs/seaweedfs,32184,2808.0,728.0,2026-05-10T18:25:30.127181+00:00
kube-green/kube-green,1342,96.0,45.0,2026-05-10T18:25:30.127181+00:00
NeptuneHub/AudioMuse-AI,1700,94.0,18.0,2026-05-10T18:25:30.127181+00:00
bjw-s-labs/home-ops,828,43.0,1.0,2026-05-10T18:25:30.127181+00:00
mkubaczyk/helmsman,1495,180.0,1.0,2026-05-10T18:25:30.127181+00:00
pulumi/pulumi,25164,1367.0,2438.0,2026-05-10T18:25:30.127181+00:00
jhipster/generator-jhipster,22407,4174.0,125.0,2026-05-10T18:25:30.128174+00:00
netbox-community/netbox-chart,340,183.0,4.0,2026-05-10T18:25:30.128174+00:00
kubenav/kubenav,2269,147.0,37.0,2026-05-10T18:25:30.128174+00:00
floci-io/floci,5131,364.0,15.0,2026-05-10T18:25:30.128174+00:00
kimdre/doco-cd,1372,47.0,12.0,2026-05-10T18:25:30.129084+00:00
IBM/mcp-context-forge,3677,653.0,1018.0,2026-05-10T18:25:30.129084+00:00
k8sgpt-ai/k8sgpt,7746,986.0,135.0,2026-05-10T18:25:30.129084+00:00
openebs/openebs,9731,982.0,42.0,2026-05-10T18:25:30.129084+00:00
superplanehq/superplane,2417,291.0,385.0,2026-05-10T18:25:30.129084+00:00
buroa/k8s-gitops,375,20.0,2.0,2026-05-10T18:25:30.129084+00:00
serversideup/spin,1481,65.0,8.0,2026-05-10T18:25:30.129084+00:00
getsentry/sentry,43811,4690.0,2095.0,2026-05-10T18:25:30.129084+00:00
woodpecker-ci/woodpecker,7002,564.0,341.0,2026-05-10T18:25:30.130145+00:00
kviklet/kviklet,599,34.0,40.0,2026-05-10T18:25:30.130145+00:00
Tracer-Cloud/opensre,4788,606.0,176.0,2026-05-10T18:25:30.130145+00:00
ENTERPILOT/GoModel,860,54.0,9.0,2026-05-10T18:25:30.130145+00:00
adriannovegil/awesome-observability,627,108.0,1.0,2026-05-10T18:25:30.130145+00:00
elastic/kibana,21079,8572.0,14300.0,2026-05-10T18:25:30.131210+00:00
Linuxfabrik/monitoring-plugins,274,66.0,69.0,2026-05-10T18:25:30.131210+00:00
langfuse/langfuse,26925,2730.0,587.0,2026-05-10T18:25:30.131210+00:00
langwatch/langwatch,3248,316.0,580.0,2026-05-10T18:25:30.131210+00:00
jaegertracing/jaeger,22780,2889.0,399.0,2026-05-10T18:25:30.132179+00:00
iopsystems/rezolus,257,19.0,5.0,2026-05-10T18:25:30.132179+00:00
alexandre-daubois/ember,345,4.0,1.0,2026-05-10T18:25:30.132179+00:00
pytorch/pytorch,99788,27738.0,18501.0,2026-05-10T18:25:55.205707+00:00
tensorflow/tensorflow,195050,75268.0,5058.0,2026-05-10T18:25:55.205707+00:00
huggingface/transformers,160439,33151.0,2357.0,2026-05-10T18:25:55.206707+00:00
langchain-ai/langchain,136309,22529.0,569.0,2026-05-10T18:25:55.209215+00:00
numpy/numpy,31999,12348.0,2365.0,2026-05-10T18:25:55.210223+00:00
pandas-dev/pandas,48710,19925.0,3318.0,2026-05-10T18:25:55.210223+00:00
scikit-learn/scikit-learn,66024,26997.0,2024.0,2026-05-10T18:25:55.211222+00:00
ray-project/ray,42482,7537.0,3541.0,2026-05-10T18:25:55.213221+00:00
jax-ml/jax,35585,3569.0,2329.0,2026-05-10T18:25:55.213221+00:00
apache/spark,43249,29168.0,387.0,2026-05-10T18:25:55.215221+00:00
mlflow/mlflow,25853,5706.0,2056.0,2026-05-10T18:25:55.216221+00:00
keras-team/keras,64059,19766.0,200.0,2026-05-10T18:25:55.217221+00:00
openai/openai-python,30732,4776.0,488.0,2026-05-10T18:25:55.217221+00:00
microsoft/LightGBM,18335,4013.0,511.0,2026-05-10T18:25:55.218221+00:00
dmlc/xgboost,28360,8869.0,461.0,2026-05-10T18:25:55.218221+00:00
facebookresearch/faiss,39982,4372.0,297.0,2026-05-10T18:25:55.220220+00:00
apache/airflow,45344,17013.0,1681.0,2026-05-10T18:25:55.220220+00:00
prefecthq/prefect,22343,2298.0,844.0,2026-05-10T18:25:55.220220+00:00
streamlit/streamlit,44528,4234.0,1304.0,2026-05-10T18:25:55.223221+00:00
gradio-app/gradio,42543,3439.0,466.0,2026-05-10T18:25:55.223221+00:00
run-llama/llama_index,49300,7380.0,335.0,2026-05-10T18:25:55.223221+00:00
vllm-project/vllm,79560,16623.0,4877.0,2026-05-10T18:25:55.223221+00:00
ollama/ollama,171134,16054.0,3225.0,2026-05-10T18:25:55.224221+00:00
open-webui/open-webui,136447,19432.0,212.0,2026-05-10T18:25:55.224221+00:00
opencv/opencv,87414,56556.0,2746.0,2026-05-10T18:25:55.224221+00:00
ultralytics/ultralytics,56958,10942.0,324.0,2026-05-10T18:25:55.224221+00:00
milvus-io/milvus,44216,3995.0,875.0,2026-05-10T18:25:55.225220+00:00
qdrant/qdrant,31201,2250.0,546.0,2026-05-10T18:25:55.225220+00:00
weaviate/weaviate,16158,1274.0,575.0,2026-05-10T18:25:55.225220+00:00
chroma-core/chroma,27895,2238.0,607.0,2026-05-10T18:25:55.225220+00:00
langgenius/dify,140827,22101.0,761.0,2026-05-10T18:25:55.225220+00:00
PaddlePaddle/Paddle,23882,5988.0,1499.0,2026-05-10T18:25:55.226220+00:00
apache/flink,25990,13927.0,363.0,2026-05-10T18:25:55.226220+00:00
apache/kafka,32549,15174.0,342.0,2026-05-10T18:25:55.226220+00:00
apache/superset,72773,17238.0,1296.0,2026-05-10T18:25:55.226220+00:00
apache/doris,15325,3779.0,899.0,2026-05-10T18:25:55.226220+00:00
apache/seatunnel,9316,2233.0,491.0,2026-05-10T18:25:55.226220+00:00
duckdb/duckdb,38045,3220.0,574.0,2026-05-10T18:25:55.227220+00:00
elastic/elasticsearch,76671,25877.0,5692.0,2026-05-10T18:25:55.227220+00:00
kubernetes/kubernetes,122171,43017.0,2666.0,2026-05-10T18:25:55.227220+00:00
helm/helm,29793,7598.0,426.0,2026-05-10T18:25:55.227220+00:00
docker/compose,37365,5795.0,109.0,2026-05-10T18:25:55.227220+00:00
hashicorp/terraform,48367,10346.0,1901.0,2026-05-10T18:25:55.228220+00:00
ansible/ansible,68494,24160.0,802.0,2026-05-10T18:25:55.228220+00:00
prometheus/prometheus,63978,10392.0,779.0,2026-05-10T18:25:55.228220+00:00
grafana/grafana,73653,13856.0,3655.0,2026-05-10T18:25:55.228220+00:00
argoproj/argo-cd,22854,7187.0,4180.0,2026-05-10T18:25:55.228220+00:00
istio/istio,38185,8299.0,471.0,2026-05-10T18:25:55.228220+00:00
fastapi/fastapi,98068,9223.0,191.0,2026-05-10T18:25:55.229220+00:00
django/django,87453,33849.0,432.0,2026-05-10T18:25:55.229220+00:00
pallets/flask,71508,16834.0,3.0,2026-05-10T18:25:55.229220+00:00
encode/starlette,12297,1167.0,56.0,2026-05-10T18:25:55.229220+00:00
plotly/plotly.py,18512,2803.0,764.0,2026-05-10T18:25:55.229220+00:00
jupyter/notebook,13139,5664.0,1923.0,2026-05-10T18:25:55.229220+00:00
jupyterlab/jupyterlab,15141,3985.0,2637.0,2026-05-10T18:25:55.230220+00:00
vercel/next.js,139360,31041.0,3907.0,2026-05-10T18:25:55.230220+00:00
vuejs/core,53641,9105.0,971.0,2026-05-10T18:25:55.230220+00:00
sveltejs/svelte,86518,4906.0,999.0,2026-05-10T18:25:55.230220+00:00
angular/angular,100067,27209.0,1140.0,2026-05-10T18:25:55.230220+00:00
ant-design/ant-design,97986,54606.0,1366.0,2026-05-10T18:25:55.231220+00:00
supabase/supabase,102125,12348.0,1009.0,2026-05-10T18:25:55.231220+00:00
prisma/prisma,45925,2193.0,2589.0,2026-05-10T18:25:55.231220+00:00
typeorm/typeorm,36476,6516.0,519.0,2026-05-10T18:25:55.231220+00:00
hasura/graphql-engine,31969,2879.0,2371.0,2026-05-10T18:25:55.232220+00:00
appwrite/appwrite,56030,5331.0,869.0,2026-05-10T18:25:55.232220+00:00
pingcap/tidb,40075,6185.0,6168.0,2026-05-10T18:25:55.232220+00:00
alibaba/nacos,32931,13276.0,246.0,2026-05-10T18:25:55.232220+00:00
alibaba/spring-cloud-alibaba,29106,8508.0,137.0,2026-05-10T18:25:55.232220+00:00
apache/echarts,66320,19808.0,1667.0,2026-05-10T18:25:55.233220+00:00
baidu/amis,18864,2723.0,1708.0,2026-05-10T18:25:55.233220+00:00
Tencent/ncnn,23206,4421.0,1181.0,2026-05-10T18:25:55.233220+00:00
misskey-dev/misskey,11153,1571.0,2482.0,2026-05-10T18:25:55.233220+00:00
nextcloud/server,34856,4851.0,3359.0,2026-05-10T18:25:55.233220+00:00
home-assistant/core,86991,37436.0,3926.0,2026-05-10T18:25:55.233220+00:00
openhab/openhab-addons,2051,3723.0,684.0,2026-05-10T18:25:55.234220+00:00
screenpipe/screenpipe,18632,1696.0,37.0,2026-05-10T18:25:55.234220+00:00
OSGeo/grass,1105,427.0,709.0,2026-05-10T18:25:55.234220+00:00
photoprism/photoprism,39651,2256.0,468.0,2026-05-10T18:25:55.234220+00:00
EnzymeAD/Enzyme,1601,161.0,271.0,2026-05-10T18:25:55.234220+00:00
academic/awesome-datascience,29158,6504.0,0.0,2026-05-10T18:25:55.234220+00:00
lutzroeder/netron,32855,3114.0,19.0,2026-05-10T18:25:55.235220+00:00
rzru/nightingale,1102,72.0,13.0,2026-05-10T18:25:55.235220+00:00
hosseinmoein/DataFrame,2953,357.0,0.0,2026-05-10T18:25:55.235220+00:00
superiorlu/AITreasureBox,794,116.0,9.0,2026-05-10T18:25:55.235220+00:00
patrick-kidger/equinox,2877,193.0,242.0,2026-05-10T18:25:55.235220+00:00
SwanHubX/SwanLab,3918,205.0,70.0,2026-05-10T18:25:55.235220+00:00
sacridini/Awesome-Geospatial,5001,717.0,1.0,2026-05-10T18:25:55.235220+00:00
microsoft/onnxruntime,20462,3900.0,1412.0,2026-05-10T18:25:55.236220+00:00
modelscope/modelscope,8910,940.0,18.0,2026-05-10T18:25:55.236220+00:00
bgauryy/octocode-mcp,811,68.0,3.0,2026-05-10T18:25:55.236220+00:00
SemiAnalysisAI/InferenceX,944,162.0,147.0,2026-05-10T18:25:55.236220+00:00
Nano-Collective/nanocoder,1883,173.0,33.0,2026-05-10T18:25:55.236220+00:00
vellum-ai/vellum-assistant,346,43.0,113.0,2026-05-10T18:25:55.237220+00:00
HKUDS/nanobot,42137,7400.0,897.0,2026-05-10T18:25:55.237220+00:00
av/harbor,2920,200.0,55.0,2026-05-10T18:25:55.237220+00:00
osaurus-ai/osaurus,5215,272.0,59.0,2026-05-10T18:25:55.237220+00:00
mx-space/core,525,145.0,16.0,2026-05-10T18:25:55.237220+00:00
thomwebb/gac,314,14.0,0.0,2026-05-10T18:25:55.237220+00:00
rcarmo/piclaw,643,52.0,67.0,2026-05-10T18:25:55.238220+00:00
Fu-Jie/openwebui-extensions,203,15.0,2.0,2026-05-10T18:25:55.238220+00:00
openyak/openyak,778,52.0,18.0,2026-05-10T18:25:55.238220+00:00
metorial/metorial,3268,359.0,1.0,2026-05-10T18:25:55.238220+00:00
yjl9903/AnimeGarden,1174,35.0,18.0,2026-05-10T18:25:55.238220+00:00
ZSeven-W/openpencil,2576,249.0,9.0,2026-05-10T18:25:55.239219+00:00
volcengine/OpenViking,23735,1764.0,233.0,2026-05-10T18:25:55.239219+00:00
GeminiLight/MindOS,570,47.0,8.0,2026-05-10T18:25:55.239219+00:00
nesquena/hermes-webui,6516,850.0,86.0,2026-05-10T18:25:55.240220+00:00
cyhhao/vibe-remote,433,60.0,2.0,2026-05-10T18:25:55.240220+00:00
suyoumo/ClawProBench,588,50.0,0.0,2026-05-10T18:25:55.240220+00:00
Mai-with-u/MaiBot,4877,520.0,32.0,2026-05-10T18:25:55.240220+00:00
hicccc77/WeFlow,9592,2332.0,43.0,2026-05-10T18:25:55.240220+00:00
apexcharts/apexcharts.js,15098,1382.0,333.0,2026-05-10T18:25:55.240220+00:00
MIERUNE/svelte-maplibre-gl,301,17.0,22.0,2026-05-10T18:25:55.240220+00:00
violit-dev/violit,443,20.0,4.0,2026-05-10T18:25:55.240220+00:00
aree6/LiftShift,425,61.0,1.0,2026-05-10T18:25:55.241220+00:00
jsxgraph/jsxgraph,1332,197.0,97.0,2026-05-10T18:25:55.241220+00:00
ILoveBingLu/CipherTalk,376,90.0,41.0,2026-05-10T18:25:55.241220+00:00
clidey/whodb,4814,205.0,33.0,2026-05-10T18:25:55.241220+00:00
matplotlib/matplotlib,22782,8327.0,1486.0,2026-05-10T18:25:55.241220+00:00
ArcadeData/arcadedb,861,103.0,50.0,2026-05-10T18:25:55.242220+00:00
tursodatabase/turso,18696,884.0,670.0,2026-05-10T18:25:55.242220+00:00
cockroachdb/cockroach,32141,4120.0,8235.0,2026-05-10T18:25:55.242220+00:00
henrydaum/second-brain,511,54.0,3.0,2026-05-10T18:25:55.242220+00:00
StarRocks/starrocks,11657,2407.0,1019.0,2026-05-10T18:25:55.242220+00:00
TableProApp/TablePro,3164,196.0,19.0,2026-05-10T18:25:55.243220+00:00
t8y2/dbx,1231,89.0,38.0,2026-05-10T18:25:55.243220+00:00
databasus/databasus,6804,354.0,7.0,2026-05-10T18:25:55.243220+00:00
rqlite/rqlite,17489,780.0,71.0,2026-05-10T18:25:55.243220+00:00
databendlabs/databend,9285,870.0,552.0,2026-05-10T18:25:55.243220+00:00
EhTagTranslation/Database,1018,109.0,5.0,2026-05-10T18:25:55.243220+00:00
seaweedfs/seaweedfs,32184,2808.0,728.0,2026-05-10T18:25:55.244220+00:00
kube-green/kube-green,1342,96.0,45.0,2026-05-10T18:25:55.244220+00:00
NeptuneHub/AudioMuse-AI,1700,94.0,18.0,2026-05-10T18:25:55.244220+00:00
bjw-s-labs/home-ops,828,43.0,1.0,2026-05-10T18:25:55.244220+00:00
mkubaczyk/helmsman,1495,180.0,1.0,2026-05-10T18:25:55.244220+00:00
pulumi/pulumi,25164,1367.0,2438.0,2026-05-10T18:25:55.244220+00:00
jhipster/generator-jhipster,22407,4174.0,125.0,2026-05-10T18:25:55.244220+00:00
netbox-community/netbox-chart,340,183.0,4.0,2026-05-10T18:25:55.244220+00:00
kubenav/kubenav,2269,147.0,37.0,2026-05-10T18:25:55.245220+00:00
floci-io/floci,5131,364.0,15.0,2026-05-10T18:25:55.245220+00:00
kimdre/doco-cd,1372,47.0,12.0,2026-05-10T18:25:55.245220+00:00
IBM/mcp-context-forge,3677,653.0,1018.0,2026-05-10T18:25:55.245220+00:00
k8sgpt-ai/k8sgpt,7746,986.0,135.0,2026-05-10T18:25:55.245220+00:00
openebs/openebs,9731,982.0,42.0,2026-05-10T18:25:55.245220+00:00
superplanehq/superplane,2417,291.0,385.0,2026-05-10T18:25:55.246220+00:00
buroa/k8s-gitops,375,20.0,2.0,2026-05-10T18:25:55.246220+00:00
serversideup/spin,1481,65.0,8.0,2026-05-10T18:25:55.246220+00:00
getsentry/sentry,43811,4690.0,2095.0,2026-05-10T18:25:55.246220+00:00
woodpecker-ci/woodpecker,7002,564.0,341.0,2026-05-10T18:25:55.246220+00:00
kviklet/kviklet,599,34.0,40.0,2026-05-10T18:25:55.246220+00:00
Tracer-Cloud/opensre,4788,606.0,176.0,2026-05-10T18:25:55.246220+00:00
ENTERPILOT/GoModel,860,54.0,9.0,2026-05-10T18:25:55.247220+00:00
adriannovegil/awesome-observability,627,108.0,1.0,2026-05-10T18:25:55.247220+00:00
elastic/kibana,21079,8572.0,14300.0,2026-05-10T18:25:55.247220+00:00
Linuxfabrik/monitoring-plugins,274,66.0,69.0,2026-05-10T18:25:55.247220+00:00
langfuse/langfuse,26925,2730.0,587.0,2026-05-10T18:25:55.247220+00:00
langwatch/langwatch,3248,316.0,580.0,2026-05-10T18:25:55.248220+00:00
jaegertracing/jaeger,22780,2889.0,399.0,2026-05-10T18:25:55.248220+00:00
iopsystems/rezolus,257,19.0,5.0,2026-05-10T18:25:55.248220+00:00
alexandre-daubois/ember,345,4.0,1.0,2026-05-10T18:25:55.248220+00:00
yegor256/takes,877,213.0,96.0,2026-05-10T18:25:55.249220+00:00
pytorch/pytorch,99788,27738.0,18501.0,2026-05-10T18:26:19.720466+00:00
tensorflow/tensorflow,195050,75268.0,5058.0,2026-05-10T18:26:19.721462+00:00
